Protein_Domain(Queried),Protein_Domain_name,count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_MF,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,Protein_Domain
PF03730,"3' exoribonuclease family, domain 2",2,"['YMR106C', 'YMR284W']",,,['Ku70:Ku80 complex'],"['damaged DNA binding', 'telomerase RNA binding', 'telomeric DNA binding']","['cellular response to X-ray', 'cellular response to gamma radiation', 'chromatin assembly or disassembly', 'establishment of macromolecular complex localization to telomere']",,,,,"['Ku70/Ku80 beta-barrel domain', 'Ku70/Ku80 N-terminal alpha/beta domain']"
PF03731,Hexokinase,2,"['YMR106C', 'YMR284W']",,,['Ku70:Ku80 complex'],"['damaged DNA binding', 'telomerase RNA binding', 'telomeric DNA binding']","['cellular response to X-ray', 'cellular response to gamma radiation', 'chromatin assembly or disassembly', 'establishment of macromolecular complex localization to telomere']",,,,,"['Ku70/Ku80 beta-barrel domain', 'Ku70/Ku80 C-terminal arm']"
PF03732,Ku70/Ku80 C-terminal arm,1,['YIL082W'],,,,,,,,,,
PF03733,Ku70/Ku80 N-terminal alpha/beta domain,1,['YNL321W'],,,,,,,,,,
PF03737,Retrotransposon gag protein,1,['YER010C'],,,,,,,,,,
PF03764,Inner membrane component domain,4,"['YDR385W', 'YKL173W', 'YLR069C', 'YOR133W']",,,['ribonucleoprotein complex'],"['GTP binding', 'GTPase activity', 'translation elongation factor activity']","['maintenance of translational fidelity', 'positive regulation of translational elongation', 'translational elongation']",,,,,"['Elongation factor Tu GTP binding domain', 'Elongation factor G C-terminus', 'Elongation factor Tu domain 2', 'Elongation Factor G, domain III']"
PF03765,Aldolase/RraA,5,"['YKL091C', 'YLR380W', 'YMR079W', 'YNL231C', 'YNL264C']",,,['intracellular membrane-bounded organelle'],['phosphatidylinositol transporter activity'],"['Golgi to plasma membrane protein transport', 'intermembrane lipid transfer', 'lipid transport', 'negative regulation of phosphatidylglycerol biosynthetic process', 'phosphatidylinositol metabolic process', 'phospholipid transport', 'positive regulation of phosphatidylcholine biosynthetic process']",,,,,['CRAL/TRIO domain']
PF03770,"Elongation factor G, domain IV",2,"['YDR017C', 'YDR173C']",,,,"['inositol-1,3,4,5,6-pentakisphosphate kinase activity']","['inositol phosphate biosynthetic process', 'phosphatidylinositol phosphorylation']",['inositol phosphate biosynthesis'],['endocytosis: abnormal'],,,
PF03798,"CRAL/TRIO, N-terminal domain",4,"['YHL003C', 'YJR116W', 'YKL008C', 'YPR114W']",,,['acyl-CoA ceramide synthase complex'],"['N-acyltransferase activity', 'sphingosine N-acyltransferase activity']",,['sphingolipid metabolism'],,,,['TRAM1-like protein']
PF03800,Inositol polyphosphate kinase,1,['YOL069W'],,,,,,,,,,
PF03801,TLC domain,1,['YIL144W'],,,,,,,,,,
PF03803,Nuf2 family,1,['YJR100C'],,,,,,,,,,
PF03807,HEC/Ndc80p family,1,['YER023W'],,,,,,,,,,
PF03810,Scramblase,8,"['YDR395W', 'YER110C', 'YGL238W', 'YGL241W', 'YGR218W', 'YJR132W', 'YLR347C', 'YPL125W']",,['NUP188'],"['nuclear envelope', 'nuclear pore']","['nuclear export signal receptor activity', 'nuclear import signal receptor activity', 'nuclear localization sequence binding', 'small GTPase binding']","['NLS-bearing protein import into nucleus', 'intracellular protein transport', 'mRNA transport', 'protein import into nucleus', 'protein transport']",,['nuclear import: decreased'],"['ECM1', 'NUP49', 'TFG2', 'NUP57', 'RPF1', 'NUP159', 'NSP1', 'NUP100', 'TIF1', 'GSP1', 'NUP2', 'NUP116', 'RPL16B', 'NUP1', 'GSP2', 'ASR1']",,['Cse1']
PF03813,NADP oxidoreductase coenzyme F420-dependent,1,['YGR090W'],,,,,,,,,,
PF03815,Importin-beta N-terminal domain,1,['YIL067C'],,,,,,,,,,
PF03820,Nrap protein domain 1,1,['YOR271C'],,,,,,,,,,
PF03828,LCCL domain,2,"['YNL299W', 'YOL115W']",,,['TRAMP complex'],['polynucleotide adenylyltransferase activity'],"[""RNA 3'-end processing"", ""U4 snRNA 3'-end processing"", 'histone mRNA catabolic process', 'ncRNA polyadenylation', 'nuclear polyadenylation-dependent CUT catabolic process', 'nuclear polyadenylation-dependent mRNA catabolic process', 'nuclear polyadenylation-dependent rRNA catabolic process', 'nuclear polyadenylation-dependent snRNA catabolic process', 'nuclear polyadenylation-dependent snoRNA catabolic process', 'nuclear polyadenylation-dependent tRNA catabolic process', ""polyadenylation-dependent snoRNA 3'-end processing"", 'snoRNA polyadenylation']",,,,,['Nucleotidyltransferase domain']
PF03834,Sideroflexins,1,['YML095C'],,,,,,,,,,
PF03835,Cid1 family poly A polymerase,2,"['YER162C', 'YPL096W']",,,,,,,,,,
PF03836,Binding domain of DNA repair protein Ercc1 (rad10/Swi10),1,['YPL242C'],,,,,,,,,,
PF03839,Rad4 transglutaminase-like domain,1,['YPL094C'],,,,,,,,,,
PF03847,RasGAP C-terminus,1,['YDR145W'],,,,,,,,,,
PF03849,Translocation protein Sec62,1,['YPL122C'],,,,,,,,,,
PF03850,Transcription initiation factor TFIID subunit A,1,['YPR056W'],,,,,,,,,,
PF03853,Transcription factor Tfb2,2,"['YEL015W', 'YNL200C']",,,,,,,,,,
PF03856,Transcription factor Tfb4,5,"['YIL123W', 'YJL116C', 'YKR042W', 'YMR244W', 'YNL066W']",,,"['cell surface', 'fungal-type cell wall']","['hydrolase activity, acting on glycosyl bonds']","['fungal-type cell wall organization', 'polysaccharide catabolic process']",,,,,
PF03870,YjeF-related protein N-terminus,1,['YOR224C'],,,,,,,,,,
PF03871,Beta-glucosidase (SUN family),1,['YBR154C'],,,,,,,,,,
PF03874,RNA polymerase Rpb8,2,"['YJL011C', 'YJL140W']",,,['RNA polymerase complex'],,"['DNA-templated transcription, initiation', 'cellular metabolic process']",,,,,
PF03876,"RNA polymerase Rpb5, N-terminal domain",3,"['YDR404C', 'YKL144C', 'YOR340C']",,,,"[""DNA-directed 5'-3' RNA polymerase activity""]","['DNA-templated transcription, initiation', 'transcription, DNA-templated']",,,"['RPB5', 'RPB10', 'RPB8', 'RPO26']",,
PF03878,RNA polymerase Rpb4,1,['YNL263C'],,,,,,,,,,
PF03879,SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397,1,['YGL029W'],,,,,,,,,,
PF03900,YIF1,1,['YDL205C'],,,,,,,,,,
PF03901,Cgr1 family,4,"['YGL142C', 'YNL219C', 'YNR030W', 'YOR149C']",['congenital disorder of glycosylation type I'],,['endoplasmic reticulum membrane'],"['alpha-1,2-mannosyltransferase activity', 'mannosyltransferase activity', 'transferase activity, transferring glycosyl groups']",['mannosylation'],['lipid-linked oligosaccharide biosynthesis'],,,,
PF03902,"Porphobilinogen deaminase, C-terminal domain",1,['YPL248C'],,,,,,,,,,
PF03907,Alg9-like mannosyltransferase family,1,['YAL009W'],,,,,,,,,,
PF03908,Gal4-like dimerisation domain,1,['YDR498C'],,,,,,,,,,
PF03909,Spo7-like protein,2,"['YDR068W', 'YDR311W']",,,,,,,,,,
PF03911,Sec20,2,"['YER019C-A', 'YER087C-B']",,,['Sec61 translocon complex'],,"['SRP-dependent cotranslational protein targeting to membrane, translocation', 'posttranslational protein targeting to membrane, translocation']",,,,,
PF03914,BSD domain,3,"['YDR060W', 'YLR002C', 'YPR144C']",,,,,,,,,,
PF03915,Sec61beta family,1,['YLR319C'],,,,,,,,,,
PF03917,CBF/Mak21 family,1,['YOL049W'],,,,,,,,,,
PF03919,Actin interacting protein 3,1,['YGL130W'],,,,,,,,,,
PF03928,"Eukaryotic glutathione synthase, ATP binding domain",1,['YBR137W'],,,,,,,,,,
PF03930,"mRNA capping enzyme, C-terminal domain",1,['R0010W'],,,,,,,,,,
PF03931,Haem degrading protein HbpS-like,2,"['YDR328C', 'YPL046C']",,,,,,,,,,
PF03935,Recombinase Flp protein N-terminus,2,"['YGR143W', 'YPR159W']",,,,"['glucosidase activity', 'hydrolase activity, hydrolyzing O-glycosyl compounds']",['(1->6)-beta-D-glucan biosynthetic process'],,,['KEG1'],,
PF03937,"Skp1 family, tetramerisation domain",1,['YOL071W'],,,,,,,,,,
PF03939,Beta-glucan synthesis-associated protein SKN1/KRE6/Sbg1,1,['YOL127W'],,,,,,,,,,
PF03941,Flavinator of succinate dehydrogenase,1,['YBR156C'],,,,,,,,,,
PF03943,"Ribosomal protein L23, N-terminal domain",1,['YPL169C'],,,,,,,,,,
PF03946,"Inner centromere protein, ARK binding region",3,"['YDR418W', 'YEL054C', 'YNL185C']",,,['large ribosomal subunit'],['large ribosomal subunit rRNA binding'],,,,,,"['Ribosomal protein L11, RNA binding domain']"
PF03947,TAP C-terminal domain,3,"['YEL050C', 'YFR031C-A', 'YIL018W']",,,,,,,,,['URE2'],"['Ribosomal Proteins L2, RNA binding domain']"
PF03949,"Ribosomal protein L11, N-terminal domain",1,['YKL029C'],,,,,,,,,,
PF03950,"Ribosomal Proteins L2, C-terminal domain",2,"['YGL245W', 'YOR168W']",,,,,['tRNA aminoacylation'],,,,,"['tRNA synthetases class I (E and Q), catalytic domain']"
PF03951,"Malic enzyme, NAD binding domain",1,['YPR035W'],,,,,,,,,,
PF03952,"tRNA synthetases class I (E and Q), anti-codon binding domain",5,"['YGR254W', 'YHR174W', 'YMR323W', 'YOR393W', 'YPL281C']",,"['ENO1', 'ENO2', 'ERR3', 'ERR2']",['phosphopyruvate hydratase complex'],"['lyase activity', 'magnesium ion binding', 'melatonin binding', 'metal ion binding', 'phosphopyruvate hydratase activity']",['glycolytic process'],"['gluconeogenesis', 'glycolysis']",,,['GCR2'],"['Enolase, C-terminal TIM barrel domain']"
PF03953,"Glutamine synthetase, beta-Grasp domain",4,"['YFL037W', 'YLR212C', 'YML085C', 'YML124C']",,"['PAC2', 'CIN4']","['cytoplasmic microtubule', 'cytoskeleton', 'kinetochore microtubule', 'microtubule', 'nuclear microtubule', 'spindle', 'tubulin complex']","['GTP binding', 'GTPase activity', 'structural constituent of cytoskeleton']","['cytoplasmic microtubule organization', 'homologous chromosome segregation', 'microtubule cytoskeleton organization', 'microtubule-based process', 'mitotic cell cycle', 'mitotic sister chromatid segregation', 'nuclear division', 'nuclear migration along microtubule', 'nuclear migration by microtubule mediated pushing forces']",,,"['SHE1', 'YCG1', 'SPC110', 'PAC2', 'GCN1', 'SPC97', 'HSP150', 'MAE1', 'PTM1', 'DYN1', 'STU2', 'YCS4', 'TUB1', 'SPC98', 'ALF1', 'ATG4', 'KIP2', 'VIK1', 'KAR3']",,"['Tubulin/FtsZ family, GTPase domain']"
PF03959,"Enolase, N-terminal domain",3,"['YHR049W', 'YMR222C', 'YOR280C']",,,,['carboxylic ester hydrolase activity'],,,,,,
PF03962,Tubulin C-terminal domain,1,['YGL183C'],,,,,,,,,,
PF03966,Serine hydrolase (FSH1),1,['YNR046W'],,,,,,,,,,
PF03969,Mnd1 HTH domain,1,['YEL052W'],,,,,,,,,,
PF03972,Trm112p-like protein,1,['YPR002W'],,,,,,,,,,
PF03980,AFG1-like ATPase,1,['YJR112W'],,,,,,,,,,
PF03981,MmgE/PrpD N-terminal domain,1,['YPL215W'],,,,,,,,,,
PF03982,Nnf1,1,['YOR245C'],,,,,,,,,,
PF03983,Ubiquinol-cytochrome C chaperone,1,['YBL007C'],,,,,,,,,,
PF03985,Diacylglycerol acyltransferase,1,['YBR279W'],,,,,,,,,,
PF03987,"SLA1 homology domain 1, SHD1",2,"['YLL042C', 'YNR007C']",,,,['ubiquitin-like protein transferase activity'],,,['late nucleophagy: absent'],,,
PF03997,Paf1,1,['YPL065W'],,,,,,,,,,
PF03998,"Autophagocytosis associated protein, active-site domain",1,['YKL099C'],,,,,,,,,,
PF04000,VPS28 protein,3,"['YDL153C', 'YER127W', 'YHR081W']",,,,,,,,,,
PF04001,Utp11 protein,2,"['YER064C', 'YIL056W']",,,,,,,,,,
PF04003,Sas10/Utp3/C1D family,3,"['YCR057C', 'YDR398W', 'YLR129W']",,,"['Pwp2p-containing subcomplex of 90S preribosome', 'small-subunit processome']",,"['maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)']",,"['RNA accumulation: absent', 'RNA accumulation: normal', 'cell cycle progression in G1 phase: arrested']","['UTP4', 'UTP9', 'FAF1', 'MPP10', 'NOC4']",,
PF04004,Transcription factor Vhr1,1,['YOR123C'],,,,,,,,,,
PF04005,Dip2/Utp12 Family,1,['YLR288C'],,,,,,,,,,
PF04006,Leo1-like protein,1,['YJR002W'],,,,,,,,,,
PF04030,Hus1-like protein,1,['YML086C'],,,,,,,,,,
PF04031,Mpp10 protein,1,['YKR063C'],,,,,,,,,,
PF04032,"D-arabinono-1,4-lactone oxidase",2,"['YDR478W', 'YIR015W']",,,['nucleolar ribonuclease P complex'],,,,,"['POP7', 'POP4', 'POP6', 'RPP1', 'POP1']",,
PF04037,Las1-like,1,['YMR240C'],,,,,,,,,,
PF04042,RNAse P Rpr2/Rpp21/SNM1 subunit domain,3,"['YBL035C', 'YJR006W', 'YPR175W']",,,,['DNA-directed DNA polymerase activity'],"['DNA replication', 'lagging strand elongation']",,,,,
PF04045,Domain of unknown function (DUF382),1,['YNR035C'],,,,,,,,,,
PF04046,DNA polymerase alpha/epsilon subunit B,1,['YMR240C'],,,,,,,,,,
PF04048,"Arp2/3 complex, 34 kD subunit p34-Arc",1,['YPR055W'],,,,,,,,,,
PF04049,PSP,1,['YHR166C'],,,,,,,,,,
PF04050,Sec8 exocyst complex component specific domain,1,['YHR077C'],,,,,,,,,,
PF04051,Anaphase promoting complex subunit 8 / Cdc23,3,"['YDR472W', 'YKR068C', 'YOR115C']",,,"['Golgi apparatus', 'TRAPP complex', 'TRAPPI protein complex', 'TRAPPII protein complex', 'TRAPPIII protein complex', 'pre-autophagosomal structure']",,"['ER to Golgi vesicle-mediated transport', 'Golgi vesicle transport', 'autophagy', 'vesicle-mediated transport']",,,"['TRS20', 'TRS85', 'TRS23', 'TRS120', 'TRS31', 'TCA17', 'TRS65', 'BET3', 'BET5', 'TRS130', 'TRS33']",,
PF04053,Up-frameshift suppressor 2,2,"['YDL145C', 'YGL137W']",,,"['COPI vesicle coat', 'COPI-coated vesicle membrane', 'membrane coat']",,,,"['protein secretion: abnormal', 'protein/peptide distribution: decreased']",,,
PF04054,Transport protein particle (TRAPP) component,1,['YCR093W'],,,,,,,,,,
PF04055,Coatomer WD associated region,4,"['YGR286C', 'YOR196C', 'YPL086C', 'YPL207W']",,,,"['4 iron, 4 sulfur cluster binding', 'catalytic activity', 'iron-sulfur cluster binding']",,,,,,
PF04056,"CCR4-Not complex component, Not1",1,['YLR005W'],,,,,,,,,,
PF04061,Radical SAM superfamily,2,"['YGR038W', 'YLR350W']",,,['SPOTS complex'],,"['cellular sphingolipid homeostasis', 'ceramide metabolic process', 'negative regulation of ceramide biosynthetic process', 'negative regulation of sphingolipid biosynthetic process', 'response to unfolded protein']",,,"['LCB1', 'TSC3']",,
PF04062,Ssl1-like,1,['YLR370C'],,,,,,,,,,
PF04063,ORMDL family,1,['YGR187C'],,,,,,,,,,
PF04064,ARP2/3 complex ARPC3 (21 kDa) subunit,1,['YGR187C'],,,,,,,,,,
PF04065,Domain of unknown function (DUF383),2,"['YIL038C', 'YPR072W']",,,['CCR4-NOT core complex'],,"['deadenylation-dependent decapping of nuclear-transcribed mRNA', 'nuclear-transcribed mRNA poly(A) tail shortening']",,,,,['NOT2 / NOT3 / NOT5 family']
PF04068,Domain of unknown function (DUF384),1,['YDR091C'],,,,,,,,,,
PF04072,"Not1 N-terminal domain, CCR4-Not complex component",2,"['YDR435C', 'YOL141W']",,,,,,,,,,
PF04078,"Possible Fer4-like domain in RNase L inhibitor, RLI",1,['YNL288W'],,,,,,,,,,
PF04080,Leucine carboxyl methyltransferase,1,['YCR044C'],,,,,,,,,,
PF04082,"Cell differentiation family, Rcd1-like",26,"['YBL005W', 'YBL066C', 'YBR150C', 'YBR297W', 'YER184C', 'YGL013C', 'YGR288W', 'YHR178W', 'YIL130W', 'YIR023W', 'YJL206C', 'YJR127C', 'YKL015W', 'YKL222C', 'YLR014C', 'YLR098C', 'YLR266C', 'YLR278C', 'YMR019W', 'YMR280C', 'YNR063W', 'YOL089C', 'YOR337W', 'YOR380W', 'YPL248C', 'YPR022C']",,['USV1'],['nucleus'],"['DNA binding', 'RNA polymerase II core promoter proximal region sequence-specific DNA binding', 'RNA polymerase II transcription factor activity, sequence-specific DNA binding', 'metal ion binding', 'sequence-specific DNA binding', 'transcription factor activity, sequence-specific DNA binding', 'transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding', 'zinc ion binding']","['positive regulation of transcription from RNA polymerase II promoter', 'regulation of transcription from RNA polymerase II promoter', 'regulation of transcription, DNA-templated', 'transcription, DNA-templated']",,"['resistance to chemicals: normal', 'respiratory metabolism: decreased']",,,['Fungal Zn(2)-Cys(6) binuclear cluster domain']
PF04083,Per1-like family,2,"['YLL012W', 'YLR020C']",,,,['sterol esterase activity'],['sterol metabolic process'],,,,,
PF04084,Fungal specific transcription factor domain,1,['YBR060C'],,,,,,,,,,
PF04088,Partial alpha/beta-hydrolase lipase region,1,['YLR191W'],,,,,,,,,,
PF04090,Origin recognition complex subunit 2,1,['YML043C'],,,,,,,,,,
PF04091,"Peroxin 13, N-terminal region",1,['YGL233W'],,,,,,,,,,
PF04095,RNA polymerase I specific initiation factor,1,['YOR209C'],,,,,,,,,,
PF04096,Exocyst complex subunit Sec15-like,3,"['YGL092W', 'YKL068W', 'YMR047C']",,"['GLE2', 'NSP1', 'GSP1']","['nuclear membrane', 'nuclear pore', 'nuclear pore central transport channel', 'nuclear pore cytoplasmic filaments']",['structural constituent of nuclear pore'],"['NLS-bearing protein import into nucleus', 'RNA export from nucleus', 'mRNA transport', 'nucleocytoplasmic transport', 'posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery', 'protein import into nucleus', 'protein targeting to nuclear inner membrane', 'tRNA export from nucleus']",,['RNA accumulation: abnormal'],"['NUP170', 'KAP104', 'NUP84', 'GLE1', 'NUP42', 'MSN5', 'RMT2', 'NUP157', 'NUP145', 'TEL2', 'NUP192', 'NUP85', 'NUP120', 'NUP100', 'MTR2', 'NUP133', 'MLP1', 'KAP95', 'AFG2', 'NUP188', 'NUP116', 'POM152', 'PSE1', 'MTR10', 'KAP120', 'MEX67']",,['Nucleoporin FG repeat region']
PF04097,Nicotinate phosphoribosyltransferase (NAPRTase) family,1,['YFR002W'],,,,,,,,,,
PF04098,Nucleoporin autopeptidase,2,"['YDL059C', 'YML032C']",,,,,"['DNA amplification', 'double-strand break repair via single-strand annealing', 'mitochondrial DNA repair', 'mitotic recombination']",,,,,
PF04099,Nup93/Nic96,2,"['YDR246W', 'YML077W']",,,"['TRAPP complex', 'TRAPPI protein complex', 'TRAPPII protein complex', 'TRAPPIII protein complex', 'pre-autophagosomal structure']",,,,,"['TRS20', 'TRS85', 'TRS120', 'TRS31', 'TCA17', 'TRS33']",,
PF04100,Rad52/22 family double-strand break repair protein,1,['YJL029C'],,,,,,,,,,
PF04101,Sybindin-like family,1,['YGL047W'],,,,,,,,,,
PF04104,"Vps53-like, N-terminal",1,['YKL045W'],,,,,,,,,,
PF04106,Glycosyltransferase family 28 C-terminal domain,1,['YPL149W'],,,,,,,,,,
PF04108,"Eukaryotic and archaeal DNA primase, large subunit",1,['YLR423C'],,,,,,,,,,
PF04109,Autophagy protein Apg5,1,['YDL149W'],,,,,,,,,,
PF04110,Autophagy protein ATG17-like domain,1,['YBR217W'],,,,,,,,,,
PF04111,Autophagy protein ATG9,1,['YPL120W'],,,,,,,,,,
PF04112,Ubiquitin-like autophagy protein Apg12,1,['YEL053C'],,,,,,,,,,
PF04113,Apg6 BARA domain,1,['YHR188C'],,,,,,,,,,
PF04114,"Mak10 subunit, NatC N(alpha)-terminal acetyltransferase",1,['YLR088W'],,,,,,,,,,
PF04115,"Gpi16 subunit, GPI transamidase component",1,['YIR032C'],,,,,,,,,,
PF04116,"Gaa1-like, GPI transamidase component",4,"['YDR297W', 'YGR060W', 'YLR056W', 'YMR272C']",,"['TRS20', 'MTC4', 'LCB2', 'IPT1', 'SUR2', 'VPS52', 'GEA2', 'SEC4', 'GUP1', 'GND1', 'LCB3', 'HOC1', 'YEH2', 'ORM2', 'ERG2', 'VPS17', 'SRO7']",['endoplasmic reticulum membrane'],"['iron ion binding', 'oxidoreductase activity', 'sphingosine hydroxylase activity']","['lipid biosynthetic process', 'lipid metabolic process']","['ergosterol biosynthesis', 'sphingolipid metabolism']",,"['ERP1', 'ERG11', 'TPO1', 'ORM2', 'ERV25']",,
PF04117,Ureidoglycolate lyase,2,"['YLR251W', 'YOR292C']",,,,,,,,,,
PF04118,Fatty acid hydroxylase,1,['YDR141C'],,,,,,,,,,
PF04119,Mpv17 / PMP22 family,1,['YFL014W'],,,,,,,,,,
PF04120,"Dopey, N-terminal",1,['YMR319C'],,,,,,,,,,
PF04121,Heat shock protein 9/12,1,['YDL116W'],,,,,,,,,,
PF04124,Low affinity iron permease,1,['YML071C'],,,,,,,,,,
PF04127,Nuclear pore protein 84 / 107,1,['YIL083C'],,,,,,,,,,
PF04129,Dor1-like family,1,['YDR484W'],,,,,,,,,,
PF04130,DNA / pantothenate metabolism flavoprotein,2,"['YHR172W', 'YNL126W']",,,"['centrosome', 'equatorial microtubule organizing center', 'gamma-tubulin complex', 'gamma-tubulin small complex', 'inner plaque of spindle pole body', 'microtubule', 'microtubule organizing center', 'mitotic spindle pole body', 'outer plaque of spindle pole body', 'spindle pole', 'spindle pole body']","['gamma-tubulin binding', 'microtubule minus-end binding']","['cytoplasmic microtubule organization', 'microtubule cytoskeleton organization', 'microtubule nucleation', 'spindle assembly']",,['cytoskeleton morphology: abnormal'],,,['Gamma tubulin complex component N-terminal']
PF04133,Vps52 / Sac2 family,1,['YJR044C'],,,,,,,,,,
PF04135,Gamma tubulin complex component C-terminal,1,['YHR072W-A'],,,,,,,,,,
PF04136,Vacuolar protein sorting 55,1,['YER157W'],,,,,,,,,,
PF04137,"Nucleolar RNA-binding protein, Nop10p family",1,['YML130C'],,,,,,,,,,
PF04139,Sec34-like family,1,['YPL194W'],,,,,,,,,,
PF04140,Endoplasmic Reticulum Oxidoreductin 1 (ERO1),1,['YDR410C'],,,,,,,,,,
PF04145,Rad9,3,"['YHR175W', 'YLR411W', 'YPR124W']",,,,['copper ion transmembrane transporter activity'],"['cellular copper ion homeostasis', 'copper ion import', 'copper ion transmembrane transport', 'copper ion transport', 'ion transport']",,,,,
PF04146,Isoprenylcysteine carboxyl methyltransferase (ICMT) family,1,['YDR374C'],,,,,,,,,,
PF04147,Ctr copper transporter family,1,['YDL148C'],,,,,,,,,,
PF04148,YT521-B-like domain,1,['YHR181W'],,,,,,,,,,
PF04152,Nop14-like family,1,['YMR224C'],,,,,,,,,,
PF04153,Transmembrane adaptor Erv26,3,"['YDL165W', 'YIL038C', 'YPR072W']",,"['CDC39', 'RAD7']",['CCR4-NOT core complex'],,"['deadenylation-dependent decapping of nuclear-transcribed mRNA', 'deadenylation-independent decapping of nuclear-transcribed mRNA', 'nuclear-transcribed mRNA poly(A) tail shortening', 'positive regulation of transcription elongation from RNA polymerase II promoter', 'protein ubiquitination', 'regulation of transcription, DNA-templated']",,,"['CCR4', 'CDC39', 'CDC36', 'MOT2', 'SPT15', 'TAF13', 'CAF40', 'POP2', 'EGD1', 'NOT5']",,"['Not1 N-terminal domain, CCR4-Not complex component']"
PF04157,Mre11 DNA-binding presumed domain,2,"['YLR417W', 'YPL002C']",,,['ESCRT II complex'],,"['ATP export', 'negative regulation of transcription from RNA polymerase II promoter by glucose', 'ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway']",,,"['VPS25', 'SRN2', 'VPS36', 'VPS28']",,
PF04158,NOT2 / NOT3 / NOT5 family,1,['YLL011W'],,,,,,,,,,
PF04161,EAP30/Vps36 family,1,['YLR242C'],,,,,,,,,,
PF04163,Sof1-like domain,1,['YMR065W'],,,,,,,,,,
PF04176,Arv1-like family,1,['YPR040W'],,,,,,,,,,
PF04177,Tht1-like nuclear fusion protein,1,['YMR028W'],,,,,,,,,,
PF04178,TIP41-like family,2,"['YBL102W', 'YMR292W']",,,,,,,,,,
PF04179,TAP42-like family,1,['YMR283C'],,,,,,,,,,
PF04180,Got1/Sft2-like family,1,['YKL143W'],,,,,,,,,,
PF04181,Rit1 DUSP-like domain,2,"['YDR066C', 'YER139C']",,,,"['CTD phosphatase activity', 'RNA polymerase core enzyme binding', 'protein serine phosphatase activity', 'protein serine/threonine phosphatase activity', 'protein threonine phosphatase activity']",['dephosphorylation of RNA polymerase II C-terminal domain'],,,,,
PF04182,Low temperature viability protein,1,['YAL001C'],,,,,,,,,,
PF04188,Rtr1/RPAP2 family,1,['YBR004C'],,,,,,,,,,
PF04189,B-block binding subunit of TFIIIC,1,['YNL062C'],,,,,,,,,,
PF04190,Mannosyltransferase (PIG-V),1,['YOR164C'],,,,,,,,,,
PF04191,Gcd10p family,2,"['YGR157W', 'YJR073C']",,"['CDS1', 'EMC1', 'TGL2', 'COQ4', 'SEC26', 'CNL1', 'SBH2', 'PCL6', 'HNM1', 'EMC4', 'PCT1', 'MSC7', 'OSH3', 'EMC5', 'CBR1', 'AYR1', 'OPT1', 'EMC3', 'EMC6', 'POM33', 'IZH3', 'HMG2', 'NTE1', 'FAR8', 'YIF1', 'LRO1', 'YNR021W', 'ALE1', 'YPR063C', 'DPM1', 'SND1', 'YBT1', 'LPL1']",,['phosphatidylethanolamine N-methyltransferase activity'],['phosphatidylcholine biosynthetic process'],['phospholipid biosynthesis'],,,['OPI1'],
PF04192,Golgi to ER traffic protein 4,1,['YLR409C'],,,,,,,,,,
PF04193,Phospholipid methyltransferase,6,"['YBR147W', 'YCR075C', 'YDR090C', 'YDR352W', 'YMR010W', 'YOL092W']",,,"['integral component of fungal-type vacuolar membrane', 'integral component of membrane', 'vacuolar membrane', 'vacuole']",['basic amino acid transmembrane transporter activity'],['basic amino acid transmembrane export from vacuole'],,,,,
PF04194,Utp21 specific WD40 associated putative domain,1,['YOL022C'],,,,,,,,,,
PF04212,PQ loop repeat,1,['YPR173C'],,,,,,,,,,
PF04253,"Programmed cell death protein 2, C-terminal putative domain",3,"['YJR126C', 'YOR256C', 'YPL176C']",,,,"['carboxypeptidase activity', 'metalloexopeptidase activity']",,,,,,['Peptidase family M28']
PF04258,MIT (microtubule interacting and transport) domain,1,['YKL100C'],,,,,,,,,,
PF04263,Transferrin receptor-like dimerisation domain,1,['YOR143C'],,,,,,,,,,
PF04265,Signal peptide peptidase,1,['YOR143C'],,,,,,,,,,
PF04280,"Thiamin pyrophosphokinase, catalytic domain",1,['YIL022W'],,,,,,,,,,
PF04281,"Thiamin pyrophosphokinase, vitamin B1 binding domain",1,['YNL131W'],,,,,,,,,,
PF04299,Tim44-like domain,1,['YKL070W'],,,,,,,,,,
PF04318,Mitochondrial import receptor subunit Tom22,11,"['YAL068W-A', 'YDR543C', 'YEL074W', 'YER188C-A', 'YFL063W', 'YJR162C', 'YKL225W', 'YLL065W', 'YMR326C', 'YNL337W', 'YNR077C']",,,,,,,,,,
